run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf1gb_q4,1gb,q4,12954,16.1,0.0,283.0,104.6,1.9
h2o_sf1gb_q4,1gb,q4,13031,16.1,0.0,283.0,104.8,1.8
h2o_sf1gb_q4,1gb,q4,13109,16.1,0.0,283.0,108.4,1.9
h2o_sf1gb_q4,1gb,q4,13187,16.1,0.0,283.0,106.8,1.9
h2o_sf1gb_q4,1gb,q4,13264,16.1,0.0,283.0,104.2,1.8
h2o_sf1gb_q4,1gb,q4,13341,16.1,0.0,283.0,106.3,1.9
h2o_sf1gb_q4,1gb,q4,13418,15.21,0.0,283.0,105.8,1.8
h2o_sf1gb_q4,1gb,q4,13498,15.21,0.0,283.0,108.6,1.9
h2o_sf1gb_q4,1gb,q4,13576,15.21,0.0,283.0,113.6,1.8
h2o_sf1gb_q4,1gb,q4,13654,15.21,0.0,283.0,114.6,1.9
h2o_sf1gb_q4,1gb,q4,13731,15.21,0.0,283.0,106.2,1.9
h2o_sf1gb_q4,1gb,q4,13934,15.2,0.0,299.0,106.4,2.2
h2o_sf1gb_q4,1gb,q4,14069,15.3,0.0,303.0,101.0,1.8
h2o_sf1gb_q4,1gb,q4,14147,15.41,0.0,15669.0,105.2,1.8
h2o_sf1gb_q4,1gb,q4,14239,15.51,0.0,15669.0,116.5,2.2
h2o_sf1gb_q4,1gb,q4,14336,15.82,0.0,15669.0,106.0,1.8
h2o_sf1gb_q4,1gb,q4,14468,16.53,50.0,15705.0,108.6,1.8
h2o_sf1gb_q4,1gb,q4,14599,19.82,50.0,15735.0,114.5,1.8
h2o_sf1gb_q4,1gb,q4,14713,23.4,50.0,15767.0,113.3,1.8
h2o_sf1gb_q4,1gb,q4,14847,24.72,50.0,15795.0,110.6,1.8
h2o_sf1gb_q4,1gb,q4,14978,25.88,50.0,15827.0,110.4,1.8
h2o_sf1gb_q4,1gb,q4,15440,36.14,50.0,5583.0,111.5,1.8
h2o_sf1gb_q4,1gb,q4,15588,34.85,50.0,5583.0,125.2,1.8
h2o_sf1gb_q4,1gb,q4,15667,34.85,50.0,5583.0,127.5,1.9
h2o_sf1gb_q4,1gb,q4,15746,32.34,50.0,5583.0,105.8,1.8
h2o_sf1gb_q4,1gb,q4,15824,30.84,50.0,5583.0,108.5,1.9
h2o_sf1gb_q4,1gb,q4,15904,27.16,50.0,5583.0,119.5,1.9
h2o_sf1gb_q4,1gb,q4,15986,24.46,0.0,5583.0,113.5,1.8
h2o_sf1gb_q4,1gb,q4,16194,24.46,0.0,5583.0,103.5,1.8
