run_id,benchmark,sf,query,storage,n_reps,min_ms,avg_ms,elapsed_s,num_samples,num_steady_samples,avg_power_w,max_power_w,max_mem_mb,avg_gpu_util,max_gpu_util,gpu_energy_j,avg_cpu_pkg_w,avg_cpu_dram_w,cpu_energy_j,status
h2o_sf2gb_cpu_q4,h2o,2gb,q4,cpu,271,37,37.3,67.54,892,822,53.5,55.1,3445,4.0,11,2.0,113.4,3.2,4.2,OK
h2o_sf2gb_cpu_q5,h2o,2gb,q5,cpu,250,39,40.5,66.53,875,801,55.1,57.2,3445,5.7,13,2.1,113.3,3.1,4.4,OK
h2o_sf2gb_cpu_q6,h2o,2gb,q6,cpu,34,294,297.0,25.84,336,242,123.2,136.8,3441,38.4,100,36.2,112.4,2.3,33.0,OK
h2o_sf2gb_cpu_q7,h2o,2gb,q7,cpu,304,32,32.9,73.38,966,887,54.9,57.2,3447,4.9,10,1.8,113.3,3.2,3.6,OK
h2o_sf2gb_cpu_q9,h2o,2gb,q9,cpu,244,40,40.6,64.56,851,743,55.6,57.6,3445,4.1,13,2.2,112.8,3.1,4.5,OK
h2o_sf2gb_cpu_q10,h2o,2gb,q10,cpu,105,94,95.5,38.57,506,409,57.9,60.6,3447,9.5,29,5.4,112.9,3.1,10.6,OK
h2o_sf3gb_cpu_q1,h2o,3gb,q1,cpu,67,150,153.7,126.45,1686,1311,53.1,55.3,6555,2.8,40,8.0,112.5,2.9,16.9,OK
h2o_sf3gb_cpu_q2,h2o,3gb,q2,cpu,37,263,268.5,83.28,1106,720,55.4,59.8,6557,5.0,71,14.6,112.3,2.8,29.5,OK
h2o_sf3gb_cpu_q3,h2o,3gb,q3,cpu,18,548,590.6,62.65,830,614,59.9,73.6,6559,9.5,100,32.8,112.0,2.5,61.4,OK
h2o_sf3gb_cpu_q4,h2o,3gb,q4,cpu,50,197,204.8,103.20,1372,921,52.9,55.5,6557,4.0,51,10.4,112.5,2.8,22.2,OK
h2o_sf3gb_cpu_q5,h2o,3gb,q5,cpu,48,205,208.4,99.70,1326,1091,54.3,57.7,6557,5.1,59,11.1,112.5,2.8,23.1,OK
h2o_sf3gb_cpu_q6,h2o,3gb,q6,cpu,5,2144,2195.6,40.03,523,314,113.1,206.0,6553,40.6,100,242.4,111.5,2.0,239.0,OK
h2o_sf3gb_cpu_q7,h2o,3gb,q7,cpu,20,495,517.8,63.21,840,541,61.2,72.8,6559,13.0,100,30.3,111.8,2.6,55.4,OK
h2o_sf3gb_cpu_q9,h2o,3gb,q9,cpu,38,259,263.6,86.26,1149,1077,58.7,68.8,6559,4.4,67,15.2,114.8,2.7,29.7,OK
h2o_sf4gb_cpu_q1,h2o,4gb,q1,cpu,50,200,204.1,125.53,1676,1232,52.8,56.0,6555,2.6,52,10.6,112.8,2.9,22.6,OK
h2o_sf4gb_cpu_q2,h2o,4gb,q2,cpu,29,352,362.5,98.77,1314,868,54.3,62.3,12781,4.9,90,19.1,112.2,2.7,39.5,OK
h2o_sf4gb_cpu_q3,h2o,4gb,q3,cpu,15,708,787.7,78.16,1039,676,57.4,76.9,12783,9.7,100,40.7,110.8,2.3,78.4,OK
h2o_sf4gb_cpu_q4,h2o,4gb,q4,cpu,38,264,272.4,106.03,1411,1075,52.1,54.6,6557,1.2,64,13.7,112.6,2.9,29.7,OK
h2o_sf4gb_cpu_q5,h2o,4gb,q5,cpu,37,274,283.2,112.96,1505,1117,53.5,58.3,12781,4.4,79,14.7,112.3,2.8,30.8,OK
h2o_sf4gb_cpu_q6,h2o,4gb,q6,cpu,4,2911,2933.8,44.71,586,316,118.7,216.2,12777,48.3,100,345.7,111.2,2.0,323.7,OK
h2o_sf4gb_cpu_q7,h2o,4gb,q7,cpu,15,642,691.0,74.60,992,715,60.3,81.0,12783,7.4,100,38.7,111.9,2.4,71.8,OK
h2o_sf4gb_cpu_q9,h2o,4gb,q9,cpu,29,347,353.8,97.99,1301,1035,60.3,74.2,12783,8.1,87,20.9,112.7,2.6,39.1,OK
