engine,benchmark,sf,query,storage,n_reps,min_s,avg_power_w,avg_gpu_util,max_mem_mb,num_steady_samples,gpu_energy_j,gpu_energy_derived_j,avg_cpu_pkg_w,cpu_energy_j,cpu_energy_derived_j,total_energy_j,status,source_file
maximus,tpch,10,q18,cpu,10,0.0,181.9,66.7,15822.0,452,0.0,0.0,138.7,0.0,0.0,0.0,FAIL,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q2,cpu,239,0.033,130.2,55.2,4316.0,1130,0.0,4.2966,134.9,4.5,4.4517,4.5,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q3,cpu,86,0.117442,61.5,4.1,40810.0,3229,0.0,7.2227,0.0,0.0,0.0,0.0,OK,maximus_cpu_data_metrics_summary_20260316_115748.csv
maximus,tpch,10,q4,cpu,75,0.138,183.4,79.5,11556.0,2655,0.0,25.3092,132.9,18.3,18.3402,18.3,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q5,cpu,46,0.216,183.8,76.4,15002.0,2016,0.0,39.7008,133.0,28.7,28.728,28.7,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q6,cpu,112,0.087583,61.3,4.0,40766.0,3310,0.0,5.3688,0.0,0.0,0.0,0.0,OK,maximus_cpu_data_metrics_summary_20260316_115748.csv
maximus,tpch,10,q7,cpu,42,0.25,184.0,75.6,15310.0,1958,0.0,46.0,-1541.5,-385.4,-385.375,-385.4,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q8,cpu,36,0.264,183.5,78.6,15768.0,1845,0.0,48.444,133.0,35.1,35.112,35.1,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,10,q9,cpu,29,0.0,182.9,77.9,15762.0,374,0.0,0.0,139.1,0.0,0.0,0.0,FAIL,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q1,cpu,173,0.057,58.0,4.1,3445.0,1001,0.0,3.306,111.0,6.3,6.327,6.3,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q10,cpu,233,0.042,55.0,3.4,3447.0,1450,0.0,2.31,-2358.7,-99.1,-99.0654,-99.1,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
maximus,tpch,2,q11,cpu,385,0.026,65.1,10.5,3447.0,362,0.0,1.6926,112.2,2.9,2.9172,2.9,OK,maximus_cpu_data_metrics_summary_20260302_133558.csv
