run_id,sf,query,time_offset_ms,power_w,gpu_util_pct,mem_used_mb,cpu_pkg_power_w,cpu_dram_power_w
h2o_sf2gb_q7,2gb,q7,29027,221.92,97.0,6561.0,108.5,1.8
h2o_sf2gb_q7,2gb,q7,29108,221.92,97.0,6561.0,105.7,1.7
h2o_sf2gb_q7,2gb,q7,29188,222.26,97.0,6561.0,108.8,1.8
h2o_sf2gb_q7,2gb,q7,29268,222.07,97.0,6561.0,108.6,1.8
h2o_sf2gb_q7,2gb,q7,29346,221.99,97.0,6561.0,105.7,1.8
h2o_sf2gb_q7,2gb,q7,29424,222.4,97.0,6561.0,109.3,1.8
h2o_sf2gb_q7,2gb,q7,29504,222.4,97.0,6561.0,107.2,1.8
h2o_sf2gb_q7,2gb,q7,29589,222.03,97.0,6561.0,107.4,1.8
h2o_sf2gb_q7,2gb,q7,29671,222.02,97.0,6561.0,109.1,1.8
h2o_sf2gb_q7,2gb,q7,29751,222.39,97.0,6561.0,108.5,1.8
h2o_sf2gb_q7,2gb,q7,29833,222.04,97.0,6561.0,106.8,1.8
h2o_sf2gb_q7,2gb,q7,29910,222.04,97.0,6561.0,108.4,1.8
h2o_sf2gb_q7,2gb,q7,29989,222.1,97.0,6561.0,109.5,1.8
h2o_sf2gb_q7,2gb,q7,30069,222.49,97.0,6561.0,107.2,1.8
h2o_sf2gb_q7,2gb,q7,30148,222.13,97.0,6561.0,108.3,1.8
h2o_sf2gb_q7,2gb,q7,30232,222.18,97.0,6561.0,107.6,1.8
h2o_sf2gb_q7,2gb,q7,30315,222.18,97.0,6561.0,111.2,1.8
h2o_sf2gb_q7,2gb,q7,30395,222.37,97.0,6561.0,111.6,1.8
h2o_sf2gb_q7,2gb,q7,30474,222.2,98.0,6561.0,108.1,1.8
h2o_sf2gb_q7,2gb,q7,30553,222.3,98.0,6561.0,107.0,1.8
h2o_sf2gb_q7,2gb,q7,30632,222.42,98.0,6561.0,108.6,1.8
