config,cpu_freq_khz,gpu_clk,engine,avg_cpu_dram_w,avg_cpu_pkg_w,avg_gpu_util,avg_ms,avg_power_w,avg_s,benchmark,cpu_energy_j,elapsed_s,energy_j,gpu_energy_j,max_gpu_util,max_mem_mb,max_power_w,min_ms,min_s,n_reps,num_samples,num_steady_samples,query,run_id,sf,status,storage
baseline,4000000,auto,maximus_gpu,1.8,107.6,92.0,1.0,180.4,,tpch,0.1,68.97,0.2,,92,6563,182.3,1,,10000,859,827,q4,tpch_sf1_q4,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.9,87.3,2.0,179.9,,tpch,0.2,43.18,0.4,,88,6563,182.0,2,,5000,532,497,q5,tpch_sf1_q5,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.9,108.1,10.0,0.3,95.9,,tpch,0.0,3.18,0.0,,10,6561,130.9,0,,100,37,12,q6,tpch_sf1_q6,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.6,81.9,2.0,160.4,,tpch,0.2,44.09,0.3,,83,6563,162.0,2,,5000,562,526,q7,tpch_sf1_q7,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.8,78.7,2.0,159.8,,tpch,0.2,43.73,0.3,,84,6563,167.9,2,,5000,547,544,q8,tpch_sf1_q8,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.9,90.0,3.0,184.1,,tpch,0.3,35.86,0.6,,90,6565,186.6,3,,3334,449,418,q9,tpch_sf1_q9,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.8,83.8,2.0,162.9,,tpch,0.2,40.94,0.3,,84,6565,164.5,2,,5000,522,482,q10,tpch_sf1_q10,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,67.4,2.1,169.5,,tpch,0.2,20.78,0.3,,68,3453,170.9,2,,5000,271,220,q11,tpch_sf1_q11,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,83.9,2.0,168.2,,tpch,0.1,39.76,0.2,,85,6563,170.7,1,,5000,494,464,q12,tpch_sf1_q12,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,95.1,14.1,251.4,,tpch,1.5,13.82,3.5,,96,3453,255.6,14,,715,180,146,q13,tpch_sf1_q13,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.8,81.8,1.1,160.0,,tpch,0.1,65.32,0.2,,83,6561,162.3,1,,10000,824,792,q14,tpch_sf1_q14,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.6,81.9,1.1,161.9,,tpch,0.1,62.41,0.2,,83,6567,164.0,1,,10000,796,764,q15,tpch_sf1_q15,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.3,93.0,18.1,104.4,,tpch,2.0,13.69,1.9,,93,3449,105.0,18,,556,179,119,q16,tpch_sf1_q16,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,75.9,3.0,149.4,,tpch,0.3,28.65,0.4,,76,6565,150.9,3,,3334,366,328,q17,tpch_sf1_q17,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,91.0,3.0,174.5,,tpch,0.3,32.88,0.5,,91,6565,175.6,3,,3334,402,358,q18,tpch_sf1_q18,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,91.0,16.9,225.8,,tpch,1.7,16.67,3.6,,92,6561,232.4,16,,625,215,186,q19,tpch_sf1_q19,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.9,76.7,3.0,143.7,,tpch,0.3,32.44,0.4,,90,6563,152.5,3,,3334,403,403,q20,tpch_sf1_q20,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.0,96.3,58.6,219.8,,tpch,6.3,13.88,12.7,,97,12791,224.1,58,,173,177,143,q21,tpch_sf1_q21,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,41.8,2.0,97.8,,tpch,0.2,24.87,0.2,,96,3465,133.4,2,,5000,327,325,q22,tpch_sf1_q22,1,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.0,96.0,8.0,200.3,,tpch,0.9,23.58,1.6,,96,12789,202.3,8,,1250,285,243,q1,tpch_sf2_q1,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.8,63.5,3.0,105.3,,tpch,0.3,21.48,0.3,,64,6563,110.3,3,,3334,279,240,q2,tpch_sf2_q2,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.9,95.0,3.0,176.3,,tpch,0.3,50.49,0.5,,95,12789,178.4,3,,3334,590,557,q3,tpch_sf2_q3,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,95.9,2.0,187.2,,tpch,0.2,66.69,0.4,,96,12787,189.8,2,,5000,774,740,q4,tpch_sf2_q4,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.1,93.2,4.0,193.7,,tpch,0.4,40.54,0.8,,94,12787,195.7,4,,2500,478,439,q5,tpch_sf2_q5,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.6,95.6,1.1,190.7,,tpch,0.1,100.93,0.2,,97,12785,192.3,1,,10000,1253,1214,q6,tpch_sf2_q6,2,OK,gpu
baseline,4000000,auto,maximus_gpu,-5299.5,108.2,89.6,3.0,177.2,,tpch,0.3,51.35,0.5,,90,12787,178.9,3,,3334,601,562,q7,tpch_sf2_q7,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.3,90.7,3.0,182.4,,tpch,0.3,51.85,0.5,,91,12787,184.6,3,,3334,602,565,q8,tpch_sf2_q8,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.5,94.7,6.0,200.3,,tpch,0.7,33.19,1.2,,95,12789,202.1,6,,1667,403,360,q9,tpch_sf2_q9,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.3,90.7,3.0,176.5,,tpch,0.2,48.53,0.4,,91,12789,178.8,2,,3334,591,557,q10,tpch_sf2_q10,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.3,79.7,3.1,203.4,,tpch,0.3,21.18,0.6,,81,6565,207.8,3,,3334,274,238,q11,tpch_sf2_q11,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.2,91.1,2.0,183.1,,tpch,0.2,69.35,0.4,,92,12787,184.7,2,,5000,840,803,q12,tpch_sf2_q12,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,107.5,98.0,27.2,263.4,,tpch,2.9,14.16,7.1,,98,6565,265.6,27,,371,185,139,q13,tpch_sf2_q13,2,OK,gpu
baseline,4000000,auto,maximus_gpu,1.8,108.0,88.5,2.1,170.3,,tpch,0.2,58.08,0.3,,98,12785,177.2,2,,5000,700,696,q14,tpch_sf2_q14,2,OK,gpu
