config,engine,time_offset_ms,gpu_power_w,gpu_util_pct,mem_used_mb,sm_clk_mhz,cpu_pkg_w,cpu_dram_w
baseline,maximus_gpu,3867,49.8,0.0,3437.0,2910.0,191.5,4.7
baseline,maximus_gpu,3943,49.79,0.0,3437.0,2910.0,117.9,2.1
baseline,maximus_gpu,4020,49.77,0.0,3437.0,2910.0,130.8,2.1
baseline,maximus_gpu,4103,49.76,0.0,3437.0,2910.0,222.3,4.3
baseline,maximus_gpu,4186,49.76,0.0,3437.0,2910.0,218.8,5.5
baseline,maximus_gpu,4263,49.73,0.0,3437.0,2910.0,173.4,4.0
baseline,maximus_gpu,4339,49.74,0.0,3437.0,2910.0,116.3,1.9
baseline,maximus_gpu,4415,49.73,0.0,3437.0,2910.0,113.0,1.9
baseline,maximus_gpu,4493,49.72,0.0,3437.0,2910.0,133.4,2.2
baseline,maximus_gpu,4574,49.72,0.0,3437.0,2910.0,212.0,4.0
baseline,maximus_gpu,4652,49.72,0.0,3437.0,2910.0,201.8,5.5
baseline,maximus_gpu,4729,49.7,0.0,3437.0,2910.0,184.1,4.4
baseline,maximus_gpu,4807,49.69,0.0,3437.0,2910.0,122.9,3.2
baseline,maximus_gpu,4882,49.69,0.0,3437.0,2910.0,110.0,1.9
baseline,maximus_gpu,4956,49.68,0.0,3437.0,2910.0,111.0,1.9
baseline,maximus_gpu,5031,49.68,0.0,3437.0,2910.0,109.7,1.9
baseline,maximus_gpu,5105,49.68,0.0,3437.0,2910.0,112.4,1.9
baseline,maximus_gpu,5178,49.68,0.0,3437.0,2910.0,106.9,1.8
baseline,maximus_gpu,5251,49.7,0.0,3437.0,2910.0,106.5,1.8
baseline,maximus_gpu,5325,49.68,0.0,3437.0,2910.0,109.3,1.8
baseline,maximus_gpu,5399,49.68,0.0,3437.0,2910.0,111.0,1.9
baseline,maximus_gpu,5473,49.68,0.0,3437.0,2910.0,111.3,1.8
baseline,maximus_gpu,5547,49.71,0.0,3437.0,2910.0,106.6,1.8
baseline,maximus_gpu,5620,49.72,0.0,3437.0,2910.0,108.3,1.8
baseline,maximus_gpu,5693,49.73,0.0,3437.0,2910.0,108.2,1.8
baseline,maximus_gpu,5766,49.73,0.0,3437.0,2910.0,108.3,1.8
baseline,maximus_gpu,5840,49.77,0.0,3437.0,2910.0,108.2,1.8
baseline,maximus_gpu,5914,49.76,0.0,3437.0,2910.0,109.0,1.8
baseline,maximus_gpu,5987,49.79,0.0,3437.0,2910.0,109.1,1.8
baseline,maximus_gpu,6061,49.79,0.0,3437.0,2910.0,111.0,1.8
baseline,maximus_gpu,6134,49.81,0.0,3437.0,2910.0,108.8,1.8
baseline,maximus_gpu,6207,49.81,0.0,3437.0,2910.0,121.3,2.2
baseline,maximus_gpu,6283,49.81,0.0,3437.0,2910.0,182.4,3.7
baseline,maximus_gpu,6359,49.82,0.0,3437.0,2910.0,162.7,3.6
baseline,maximus_gpu,6433,49.82,0.0,3437.0,2910.0,120.7,2.4
baseline,maximus_gpu,6506,49.83,0.0,3437.0,2910.0,107.8,1.8
baseline,maximus_gpu,6580,49.83,0.0,3437.0,2910.0,108.0,1.9
baseline,maximus_gpu,6654,49.84,0.0,3437.0,2910.0,108.8,1.8
baseline,maximus_gpu,6729,49.86,0.0,3437.0,2910.0,122.1,2.4
baseline,maximus_gpu,6806,49.85,0.0,3437.0,2910.0,110.3,1.9
baseline,maximus_gpu,6880,49.85,0.0,3437.0,2910.0,108.1,1.8
baseline,maximus_gpu,6955,49.86,0.0,3437.0,2910.0,120.7,2.2
baseline,maximus_gpu,7030,49.84,0.0,3437.0,2910.0,115.0,2.1
baseline,maximus_gpu,7104,49.83,0.0,3437.0,2910.0,109.2,1.9
baseline,maximus_gpu,7178,49.83,0.0,3437.0,2910.0,109.3,1.9
baseline,maximus_gpu,7251,49.82,0.0,3437.0,2910.0,110.2,1.8
baseline,maximus_gpu,7326,49.81,0.0,3437.0,2910.0,108.0,1.8
baseline,maximus_gpu,7399,49.79,0.0,3437.0,2910.0,112.5,1.8
baseline,maximus_gpu,7473,49.79,0.0,3437.0,2910.0,109.5,1.8
baseline,maximus_gpu,7546,49.8,0.0,3437.0,2910.0,108.9,1.8
baseline,maximus_gpu,7620,49.78,0.0,3437.0,2910.0,111.8,1.8
baseline,maximus_gpu,7694,49.76,0.0,3437.0,2910.0,109.3,1.8
baseline,maximus_gpu,7770,49.76,0.0,3437.0,2910.0,132.2,2.8
baseline,maximus_gpu,7846,49.78,0.0,3437.0,2910.0,132.3,2.8
baseline,maximus_gpu,7919,49.77,0.0,3437.0,2910.0,107.6,1.8
baseline,maximus_gpu,7992,49.78,0.0,3437.0,2910.0,107.6,1.8
baseline,maximus_gpu,8066,49.78,0.0,3437.0,2910.0,106.8,1.9
baseline,maximus_gpu,8139,49.8,0.0,3437.0,2910.0,108.0,1.9
baseline,maximus_gpu,8213,49.81,0.0,3437.0,2910.0,104.4,1.8
baseline,maximus_gpu,8288,49.82,0.0,3437.0,2910.0,106.9,1.8
baseline,maximus_gpu,8362,49.82,0.0,3437.0,2910.0,104.7,1.8
baseline,maximus_gpu,8437,49.84,0.0,3437.0,2910.0,108.7,1.9
baseline,maximus_gpu,8510,49.83,0.0,3437.0,2910.0,105.5,1.9
baseline,maximus_gpu,8583,49.83,0.0,3437.0,2910.0,106.6,1.9
baseline,maximus_gpu,8657,49.85,0.0,3437.0,2910.0,105.1,1.8
baseline,maximus_gpu,8730,49.85,0.0,3437.0,2910.0,106.3,1.8
baseline,maximus_gpu,8806,49.86,0.0,3437.0,2910.0,106.2,1.8
baseline,maximus_gpu,8880,49.86,0.0,3437.0,2910.0,106.6,1.9
baseline,maximus_gpu,8953,49.87,0.0,3437.0,2910.0,104.9,1.9
baseline,maximus_gpu,9027,49.88,0.0,3437.0,2910.0,105.8,1.8
baseline,maximus_gpu,9100,49.87,0.0,3437.0,2910.0,106.3,1.9
baseline,maximus_gpu,9173,49.87,0.0,3437.0,2910.0,105.0,1.9
baseline,maximus_gpu,9247,49.88,0.0,3437.0,2910.0,108.3,1.9
baseline,maximus_gpu,9321,49.87,0.0,3437.0,2910.0,109.3,1.9
baseline,maximus_gpu,9395,49.85,0.0,3437.0,2910.0,107.1,1.9
baseline,maximus_gpu,9468,49.85,0.0,3437.0,2910.0,107.1,1.9
baseline,maximus_gpu,9542,49.85,0.0,3437.0,2910.0,107.3,1.8
baseline,maximus_gpu,9616,49.86,0.0,3437.0,2910.0,108.4,1.9
baseline,maximus_gpu,9690,49.84,0.0,3437.0,2910.0,105.3,1.8
baseline,maximus_gpu,9763,49.84,0.0,3437.0,2910.0,104.1,1.9
baseline,maximus_gpu,9837,49.85,0.0,3437.0,2910.0,104.6,1.8
baseline,maximus_gpu,9911,49.84,0.0,3437.0,2910.0,103.9,1.8
baseline,maximus_gpu,9984,49.84,0.0,3437.0,2910.0,104.5,1.8
baseline,maximus_gpu,10057,49.83,0.0,3437.0,2910.0,104.0,1.8
baseline,maximus_gpu,10130,49.83,0.0,3437.0,2910.0,104.4,1.8
baseline,maximus_gpu,10203,49.83,0.0,3437.0,2910.0,104.5,1.8
baseline,maximus_gpu,10276,49.83,0.0,3437.0,2910.0,105.3,1.8
baseline,maximus_gpu,10350,49.83,0.0,3437.0,2910.0,104.1,1.8
baseline,maximus_gpu,10423,49.83,0.0,3437.0,2910.0,107.0,1.9
baseline,maximus_gpu,10497,49.82,0.0,3437.0,2910.0,107.9,1.9
baseline,maximus_gpu,10570,49.82,0.0,3437.0,2910.0,104.7,1.9
baseline,maximus_gpu,10644,49.83,0.0,3437.0,2910.0,106.5,1.8
baseline,maximus_gpu,10717,49.82,0.0,3437.0,2910.0,108.1,1.9
baseline,maximus_gpu,10792,49.81,0.0,3437.0,2910.0,106.8,1.8
baseline,maximus_gpu,10867,49.81,0.0,3437.0,2910.0,106.1,1.8
baseline,maximus_gpu,10939,49.82,0.0,3437.0,2910.0,105.2,1.8
baseline,maximus_gpu,11013,49.81,0.0,3437.0,2910.0,105.1,1.9
baseline,maximus_gpu,11086,49.81,0.0,3437.0,2910.0,106.4,1.9
baseline,maximus_gpu,11160,49.79,0.0,3437.0,2910.0,106.1,1.9
baseline,maximus_gpu,11233,49.78,0.0,3437.0,2910.0,106.6,1.8
baseline,maximus_gpu,11308,49.77,0.0,3437.0,2910.0,108.3,1.9
baseline,maximus_gpu,11382,49.77,0.0,3437.0,2910.0,111.1,1.9
baseline,maximus_gpu,11455,49.74,0.0,3437.0,2910.0,109.7,2.0
baseline,maximus_gpu,11528,49.74,0.0,3437.0,2910.0,105.4,1.8
baseline,maximus_gpu,11602,49.73,0.0,3437.0,2910.0,107.6,1.9
baseline,maximus_gpu,11676,49.73,0.0,3437.0,2910.0,106.2,1.8
baseline,maximus_gpu,11748,49.71,0.0,3437.0,2910.0,106.5,1.8
baseline,maximus_gpu,11823,49.7,0.0,3437.0,2910.0,109.0,1.9
baseline,maximus_gpu,11897,49.68,0.0,3437.0,2910.0,106.4,1.8
baseline,maximus_gpu,11971,49.68,0.0,3437.0,2910.0,106.9,1.9
baseline,maximus_gpu,12045,49.7,0.0,3437.0,2910.0,106.6,1.8
baseline,maximus_gpu,12118,49.7,0.0,3437.0,2910.0,106.1,1.9
baseline,maximus_gpu,12191,49.71,0.0,3437.0,2910.0,105.2,1.8
baseline,maximus_gpu,12265,49.71,0.0,3437.0,2910.0,103.6,1.9
baseline,maximus_gpu,12339,49.72,0.0,3437.0,2910.0,103.1,1.8
baseline,maximus_gpu,12413,49.71,0.0,3437.0,2910.0,110.2,1.9
baseline,maximus_gpu,12486,49.71,0.0,3437.0,2910.0,107.4,1.9
baseline,maximus_gpu,12560,49.71,0.0,3437.0,2910.0,104.7,1.9
baseline,maximus_gpu,12633,49.72,0.0,3437.0,2910.0,108.5,1.9
baseline,maximus_gpu,12707,49.72,0.0,3437.0,2910.0,105.4,1.8
baseline,maximus_gpu,12780,49.72,0.0,3437.0,2910.0,107.0,1.9
baseline,maximus_gpu,12853,49.71,0.0,3437.0,2910.0,107.0,1.8
baseline,maximus_gpu,12927,49.71,0.0,3437.0,2910.0,105.8,1.8
baseline,maximus_gpu,13003,49.72,0.0,3437.0,2910.0,106.2,1.8
baseline,maximus_gpu,13077,49.72,0.0,3437.0,2910.0,108.2,1.9
baseline,maximus_gpu,13151,49.7,0.0,3437.0,2910.0,104.0,2.3
baseline,maximus_gpu,13227,49.7,0.0,3437.0,2910.0,109.3,3.7
baseline,maximus_gpu,13306,49.69,0.0,3437.0,2910.0,109.2,3.7
baseline,maximus_gpu,13380,49.69,0.0,3437.0,2910.0,111.8,3.7
baseline,maximus_gpu,13455,49.7,0.0,3439.0,2910.0,115.2,3.6
baseline,maximus_gpu,13530,49.83,0.0,3439.0,2910.0,108.2,3.3
baseline,maximus_gpu,13606,50.75,0.0,6553.0,2910.0,111.4,3.0
baseline,maximus_gpu,13680,50.75,0.0,6557.0,2910.0,107.7,3.2
baseline,maximus_gpu,13755,54.12,0.0,6557.0,2910.0,108.8,3.7
baseline,maximus_gpu,13830,53.73,0.0,6557.0,2910.0,109.3,3.7
baseline,maximus_gpu,13904,54.13,0.0,6557.0,2910.0,110.0,3.7
baseline,maximus_gpu,13978,54.13,0.0,6557.0,2910.0,110.2,3.7
baseline,maximus_gpu,14053,54.15,0.0,6557.0,2910.0,107.7,3.6
baseline,maximus_gpu,14127,54.15,0.0,6557.0,2910.0,110.9,3.5
baseline,maximus_gpu,14200,54.16,0.0,6557.0,2910.0,110.8,3.4
baseline,maximus_gpu,14274,54.16,0.0,6557.0,2910.0,107.3,2.6
baseline,maximus_gpu,14350,53.79,0.0,6557.0,2910.0,110.8,3.0
baseline,maximus_gpu,14425,54.94,0.0,6557.0,2910.0,114.8,3.6
baseline,maximus_gpu,14501,58.42,20.0,6557.0,2910.0,108.6,3.1
baseline,maximus_gpu,14576,58.42,20.0,6557.0,2910.0,110.9,3.4
baseline,maximus_gpu,14650,57.47,20.0,6557.0,2910.0,110.7,3.4
baseline,maximus_gpu,14723,54.24,20.0,6557.0,2910.0,109.6,3.2
baseline,maximus_gpu,14799,54.26,20.0,6557.0,2910.0,110.3,2.6
baseline,maximus_gpu,14874,54.26,20.0,6557.0,2910.0,106.4,2.3
baseline,maximus_gpu,14947,53.88,20.0,6557.0,2910.0,110.0,3.6
baseline,maximus_gpu,15021,53.9,0.0,6557.0,2910.0,114.0,3.3
baseline,maximus_gpu,15095,53.9,0.0,6557.0,2910.0,107.6,3.1
baseline,maximus_gpu,15169,53.9,0.0,6557.0,2910.0,107.9,2.3
baseline,maximus_gpu,15242,53.93,0.0,6557.0,2910.0,108.3,2.0
baseline,maximus_gpu,15319,54.33,0.0,6557.0,2910.0,108.2,2.4
baseline,maximus_gpu,15394,54.38,0.0,6557.0,2910.0,114.9,3.6
baseline,maximus_gpu,15469,54.38,0.0,6557.0,2910.0,121.1,3.2
baseline,maximus_gpu,15544,54.4,23.0,6557.0,2910.0,118.1,3.6
baseline,maximus_gpu,15618,54.02,23.0,6557.0,2910.0,116.0,2.9
baseline,maximus_gpu,15691,54.0,23.0,6557.0,2910.0,105.5,1.9
baseline,maximus_gpu,15765,54.0,23.0,6557.0,2910.0,107.0,1.9
baseline,maximus_gpu,15839,54.01,23.0,6557.0,2910.0,105.5,1.8
baseline,maximus_gpu,15912,54.41,23.0,6557.0,2910.0,106.2,1.9
