config,pl_w,sm_mhz,engine,benchmark,sf,query,storage,n_reps,min_ms,query_ms,elapsed_s,n_samples,n_steady,avg_power_w,max_power_w,avg_util,max_mem_mb,avg_sm_mhz,gpu_energy_j,cpu_energy_j,total_energy_j,status
pl200w_smauto,200,auto,maximus,tpch,10,q13,gpu,27,189.5100,189.5100,7.14,106,93,189.2,196.7,97.8,48713,1139,35.8496,0.0000,35.8496,OK
pl200w_smauto,200,auto,maximus,tpch,10,q16,gpu,100,33.3330,33.3330,5.74,86,71,182.4,192.7,94.6,48717,1396,6.0804,0.0000,6.0804,OK
pl200w_smauto,200,auto,maximus,tpch,10,q1,cpu,100,45.1090,45.1090,138.14,2159,2153,123.6,160.7,3.2,48712,1954,5.5750,0.0000,5.5750,OK
pl200w_smauto,200,auto,maximus,tpch,10,q3,cpu,100,19.5410,19.5410,165.10,2583,2576,120.8,128.0,1.2,48705,1978,2.3601,0.0000,2.3601,OK
pl200w_smauto,200,auto,maximus,tpch,10,q6,cpu,100,12.1700,12.1700,134.28,2099,2093,120.3,125.4,0.8,48704,1980,1.4643,0.0000,1.4643,OK
pl200w_smauto,200,auto,maximus,tpch,10,q9,cpu,20,258.0140,258.0140,47.32,739,731,121.6,125.5,1.5,48705,1969,31.3802,0.0000,31.3802,OK
pl200w_smauto,200,auto,maximus,tpch,10,q13,cpu,29,173.0350,173.0350,20.02,308,301,148.2,167.8,26.7,48705,1705,25.6457,0.0000,25.6457,OK
pl200w_smauto,200,auto,maximus,tpch,10,q16,cpu,41,123.0080,123.0080,20.26,314,309,128.7,141.5,6.7,48709,1931,15.8298,0.0000,15.8298,OK
pl200w_smauto,200,auto,sirius,tpch,10,q1,gpu,49,97.0000,97.0000,11.59,175,80,180.9,193.6,95.6,96395,1097,17.5515,0.0000,17.5515,OK
pl200w_smauto,200,auto,sirius,tpch,10,q3,gpu,100,27.0000,27.0000,6.09,89,35,151.3,198.5,45.8,96759,1632,4.0853,0.0000,4.0853,OK
pl200w_smauto,200,auto,sirius,tpch,10,q6,gpu,100,4.0000,4.0000,5.02,75,22,133.9,161.2,23.4,96593,1802,0.5358,0.0000,0.5358,OK
pl200w_smauto,200,auto,sirius,tpch,10,q9,gpu,7,723.0000,723.0000,11.72,158,95,138.4,157.8,13.0,96405,1789,100.0686,0.0000,100.0686,OK
pl200w_smauto,200,auto,sirius,tpch,10,q13,gpu,65,73.0000,73.0000,10.25,153,79,170.7,177.4,95.3,96755,903,12.4591,0.0000,12.4591,OK
pl200w_smauto,200,auto,sirius,tpch,10,q16,gpu,65,79.0000,79.0000,18.61,154,54,182.0,189.5,92.3,96763,988,14.3774,0.0000,14.3774,OK
pl200w_smauto,200,auto,sirius,tpch,10,q1,cpu,52,96.0000,96.0000,11.73,176,87,179.4,192.9,95.0,96411,1046,17.2256,0.0000,17.2256,OK
pl200w_smauto,200,auto,sirius,tpch,10,q3,cpu,100,25.0000,25.0000,6.50,92,35,150.1,199.3,47.1,96764,1638,3.7534,0.0000,3.7534,OK
pl200w_smauto,200,auto,sirius,tpch,10,q6,cpu,100,4.0000,4.0000,5.03,75,22,135.0,162.5,25.7,96592,1805,0.5400,0.0000,0.5400,OK
pl200w_smauto,200,auto,sirius,tpch,10,q9,cpu,7,723.0000,723.0000,11.62,156,95,139.1,157.2,11.3,96404,1786,100.5377,0.0000,100.5377,OK
pl200w_smauto,200,auto,sirius,tpch,10,q13,cpu,65,68.0000,68.0000,10.29,153,79,170.7,178.2,95.2,96754,896,11.6048,0.0000,11.6048,OK
pl200w_smauto,200,auto,sirius,tpch,10,q16,cpu,63,65.0000,65.0000,17.72,152,63,173.3,191.8,79.1,96761,1145,11.2660,0.0000,11.2660,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q1,gpu,100,23.3300,23.3300,5.70,83,69,174.3,184.6,98.7,48708,1075,4.0668,0.0000,4.0668,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q3,gpu,58,87.0260,87.0260,7.53,109,96,189.6,202.3,90.8,48711,653,16.5019,0.0000,16.5019,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q5,gpu,100,20.9480,20.9480,5.83,85,71,186.4,196.8,99.1,48710,754,3.9043,0.0000,3.9043,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q6,gpu,8,661.8580,661.8580,7.17,106,92,195.6,207.5,99.5,48712,713,129.4574,0.0000,129.4574,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q7,gpu,74,68.5180,68.5180,8.04,117,103,192.6,201.1,92.4,48712,616,13.1942,0.0000,13.1942,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q9,gpu,61,82.0830,82.0830,8.03,118,103,188.5,197.6,98.9,48712,888,15.4748,0.0000,15.4748,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q1,cpu,33,149.1160,149.1160,52.25,816,810,121.5,159.9,1.4,48707,1978,18.1117,0.0000,18.1117,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q3,cpu,14,345.7800,345.7800,27.73,431,424,123.3,129.8,3.8,48703,1913,42.6514,0.0000,42.6514,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q5,cpu,24,217.2320,217.2320,41.91,654,649,121.5,130.9,1.1,48703,1970,26.3943,0.0000,26.3943,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q6,cpu,7,768.4430,768.4430,19.68,302,295,140.2,181.8,21.8,48705,1665,107.6976,0.0000,107.6976,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q7,cpu,18,291.8260,291.8260,33.82,527,521,123.0,153.8,2.6,48704,1934,35.8916,0.0000,35.8916,OK
pl200w_smauto,200,auto,maximus,h2o,4gb,q9,cpu,67,72.4930,72.4930,96.49,1507,1500,126.2,132.6,4.8,48705,1912,9.1484,0.0000,9.1484,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q1,gpu,100,15.0000,15.0000,6.93,104,50,156.2,201.3,51.1,96615,1685,2.3425,0.0000,2.3425,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q3,gpu,46,103.0000,103.0000,11.88,179,123,157.2,189.5,29.1,96380,1342,16.1954,0.0000,16.1954,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q5,gpu,100,22.0000,22.0000,7.28,109,54,166.4,200.9,61.5,96617,1410,3.6605,0.0000,3.6605,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q6,gpu,100,32.0000,32.0000,8.15,122,53,188.1,201.0,91.4,96618,1231,6.0195,0.0000,6.0195,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q7,gpu,65,78.0000,78.0000,12.73,191,138,157.6,184.8,31.3,96459,1247,12.2946,0.0000,12.2946,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q9,gpu,69,72.0000,72.0000,10.62,159,79,186.3,194.3,93.8,96483,1093,13.4124,0.0000,13.4124,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q1,cpu,100,15.0000,15.0000,6.77,103,49,157.3,201.2,51.9,96614,1678,2.3588,0.0000,2.3588,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q3,cpu,41,100.0000,100.0000,11.33,169,115,155.4,189.0,28.3,96357,1367,15.5395,0.0000,15.5395,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q5,cpu,100,21.0000,21.0000,7.31,110,54,166.7,201.6,61.2,96616,1394,3.5001,0.0000,3.5001,OK
pl200w_smauto,200,auto,sirius,h2o,4gb,q6,cpu,100,32.0000,32.0000,8.17,122,50,189.9,201.0,92.8,96614,1186,6.0770,0.0000,6.0770,OK
