engine,benchmark,sf,query,storage,latency_ms,avg_gpu_power_w,avg_cpu_power_w,total_power_w,gpu_energy_j,total_energy_j,status
maximus,tpch,10,q14,gpu,8.4430,299.9,0.0,299.9,2.5321,2.5321,OK
maximus,tpch,10,q15,gpu,7.6070,295.3,0.0,295.3,2.2463,2.2463,OK
maximus,tpch,10,q16,gpu,27.2310,286.5,0.0,286.5,7.8017,7.8017,OK
maximus,tpch,10,q17,gpu,12.7240,282.7,0.0,282.7,3.5971,3.5971,OK
maximus,tpch,10,q18,gpu,9.2430,323.4,0.0,323.4,2.9892,2.9892,OK
maximus,tpch,10,q19,gpu,127.9980,388.6,0.0,388.6,49.7400,49.7400,OK
maximus,tpch,10,q20,gpu,14.8290,324.4,0.0,324.4,4.8105,4.8105,OK
maximus,tpch,10,q21,gpu,266.4400,392.4,0.0,392.4,104.5511,104.5511,OK
maximus,tpch,10,q22,gpu,5.4450,218.2,0.0,218.2,1.1881,1.1881,OK
maximus,tpch,10,q1,cpu,44.9420,126.3,0.0,126.3,5.6762,5.6762,OK
maximus,tpch,10,q2,cpu,20.2380,120.3,0.0,120.3,2.4346,2.4346,OK
maximus,tpch,10,q3,cpu,20.0140,120.6,0.0,120.6,2.4137,2.4137,OK
maximus,tpch,10,q4,cpu,15.0430,120.3,0.0,120.3,1.8097,1.8097,OK
maximus,tpch,10,q5,cpu,161.0490,121.0,0.0,121.0,19.4869,19.4869,OK
maximus,tpch,10,q6,cpu,12.1440,120.2,0.0,120.2,1.4597,1.4597,OK
maximus,tpch,10,q7,cpu,39.3690,120.6,0.0,120.6,4.7479,4.7479,OK
maximus,tpch,10,q8,cpu,192.5770,120.5,0.0,120.5,23.2055,23.2055,OK
maximus,tpch,10,q9,cpu,259.7430,121.9,0.0,121.9,31.6627,31.6627,OK
maximus,tpch,10,q10,cpu,18.8990,120.4,0.0,120.4,2.2754,2.2754,OK
maximus,tpch,10,q11,cpu,107.6070,127.6,0.0,127.6,13.7307,13.7307,OK
maximus,tpch,10,q12,cpu,180.2100,121.2,0.0,121.2,21.8415,21.8415,OK
maximus,tpch,10,q13,cpu,123.5530,194.8,0.0,194.8,24.0681,24.0681,OK
maximus,tpch,10,q14,cpu,42.6930,121.4,0.0,121.4,5.1829,5.1829,OK
maximus,tpch,10,q15,cpu,40.1450,120.8,0.0,120.8,4.8495,4.8495,OK
maximus,tpch,10,q16,cpu,121.5100,131.1,0.0,131.1,15.9300,15.9300,OK
maximus,tpch,10,q17,cpu,820.8450,120.8,0.0,120.8,99.1581,99.1581,OK
maximus,tpch,10,q18,cpu,1033.9800,120.5,0.0,120.5,124.5946,124.5946,OK
maximus,tpch,10,q19,cpu,933.6550,129.9,0.0,129.9,121.2818,121.2818,OK
maximus,tpch,10,q20,cpu,146.3570,122.1,0.0,122.1,17.8702,17.8702,OK
maximus,tpch,10,q21,cpu,448.2990,152.8,0.0,152.8,68.5001,68.5001,OK
maximus,tpch,10,q22,cpu,139.9300,122.1,0.0,122.1,17.0855,17.0855,OK
sirius,tpch,10,q1,gpu,65.0000,341.7,0.0,341.7,22.2105,22.2105,OK
sirius,tpch,10,q2,gpu,23.0000,130.2,0.0,130.2,2.9946,2.9946,OK
sirius,tpch,10,q3,gpu,22.0000,173.7,0.0,173.7,3.8214,3.8214,OK
sirius,tpch,10,q4,gpu,19.0000,185.9,0.0,185.9,3.5321,3.5321,OK
sirius,tpch,10,q5,gpu,95.0000,242.7,0.0,242.7,23.0565,23.0565,OK
sirius,tpch,10,q6,gpu,3.0000,140.0,0.0,140.0,0.4200,0.4200,OK
sirius,tpch,10,q7,gpu,33.0000,124.4,0.0,124.4,4.1052,4.1052,OK
sirius,tpch,10,q8,gpu,32.0000,135.8,0.0,135.8,4.3456,4.3456,OK
sirius,tpch,10,q9,gpu,677.0000,154.8,0.0,154.8,104.7996,104.7996,OK
