category,engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,status
full,sirius,tpch,10,q15,cpu,3,6.0000,6.0000,OK
full,sirius,tpch,10,q16,cpu,3,51.0000,51.0000,OK
full,sirius,tpch,10,q17,cpu,3,64.0000,63.0000,OK
full,sirius,tpch,10,q18,cpu,3,114.0000,114.0000,OK
full,sirius,tpch,10,q19,cpu,3,21.0000,21.0000,OK
full,sirius,tpch,10,q20,cpu,3,15.0000,15.0000,OK
full,sirius,tpch,10,q21,cpu,3,251.0000,251.0000,OK
full,sirius,tpch,10,q22,cpu,3,14.0000,13.0000,OK
full,maximus,h2o,1gb,q1,gpu,3,4.2970,4.2970,OK
full,maximus,h2o,1gb,q2,gpu,3,3.7280,3.7280,OK
full,maximus,h2o,1gb,q3,gpu,3,25.4900,25.4900,OK
full,maximus,h2o,1gb,q4,gpu,3,4.3120,4.3120,OK
full,maximus,h2o,1gb,q5,gpu,3,2.6740,2.6740,OK
full,maximus,h2o,1gb,q6,gpu,3,68.9120,68.9120,OK
full,maximus,h2o,1gb,q7,gpu,3,17.7690,17.7690,OK
full,maximus,h2o,1gb,q9,gpu,3,12.4160,12.4160,OK
full,maximus,h2o,1gb,q10,gpu,3,139.6580,139.6580,OK
full,maximus,h2o,1gb,q1,cpu,3,38.3530,38.1360,OK
full,maximus,h2o,1gb,q2,cpu,3,60.4900,60.4900,OK
full,maximus,h2o,1gb,q3,cpu,3,97.4110,97.2910,OK
full,maximus,h2o,1gb,q4,cpu,3,54.9130,54.9130,OK
full,maximus,h2o,1gb,q5,cpu,3,53.1000,53.1000,OK
full,maximus,h2o,1gb,q6,cpu,3,109.4920,109.4920,OK
full,maximus,h2o,1gb,q7,cpu,3,81.5060,80.9850,OK
full,maximus,h2o,1gb,q9,cpu,3,15.9580,15.9580,OK
full,maximus,h2o,1gb,q10,cpu,3,293.9650,293.9650,OK
full,sirius,h2o,1gb,q1,gpu,3,5.0000,5.0000,OK
full,sirius,h2o,1gb,q2,gpu,3,4.0000,4.0000,OK
full,sirius,h2o,1gb,q3,gpu,3,93.0000,76.0000,OK
full,sirius,h2o,1gb,q4,gpu,3,7.0000,7.0000,OK
full,sirius,h2o,1gb,q5,gpu,3,5.0000,5.0000,OK
full,sirius,h2o,1gb,q6,gpu,3,7.0000,7.0000,OK
full,sirius,h2o,1gb,q7,gpu,3,52.0000,50.0000,OK
full,sirius,h2o,1gb,q9,gpu,3,17.0000,17.0000,OK
full,sirius,h2o,1gb,q10,gpu,3,509.0000,506.0000,OK
full,sirius,h2o,1gb,q1,cpu,3,5.0000,4.0000,OK
full,sirius,h2o,1gb,q2,cpu,3,4.0000,4.0000,OK
full,sirius,h2o,1gb,q3,cpu,3,68.0000,67.0000,OK
full,sirius,h2o,1gb,q4,cpu,3,7.0000,7.0000,OK
full,sirius,h2o,1gb,q5,cpu,3,6.0000,5.0000,OK
full,sirius,h2o,1gb,q6,cpu,3,7.0000,7.0000,OK
full,sirius,h2o,1gb,q7,cpu,3,46.0000,46.0000,OK
full,sirius,h2o,1gb,q9,cpu,3,17.0000,17.0000,OK
full,sirius,h2o,1gb,q10,cpu,3,496.0000,496.0000,OK
full,maximus,h2o,2gb,q1,gpu,3,8.0240,8.0240,OK
full,maximus,h2o,2gb,q2,gpu,3,6.9610,6.9610,OK
full,maximus,h2o,2gb,q3,gpu,3,36.3530,36.3530,OK
full,maximus,h2o,2gb,q4,gpu,3,8.1750,8.1750,OK
full,maximus,h2o,2gb,q5,gpu,3,4.9930,4.9930,OK
full,maximus,h2o,2gb,q6,gpu,3,150.9400,150.9400,OK
full,maximus,h2o,2gb,q7,gpu,3,26.1830,26.1830,OK
full,maximus,h2o,2gb,q9,gpu,3,24.0710,22.9830,OK
full,maximus,h2o,2gb,q10,gpu,3,283.6510,283.6200,OK
full,maximus,h2o,2gb,q1,cpu,3,75.0110,74.9410,OK
full,maximus,h2o,2gb,q2,cpu,3,120.0720,120.0720,OK
full,maximus,h2o,2gb,q3,cpu,3,179.8120,179.8120,OK
full,maximus,h2o,2gb,q4,cpu,3,110.5020,110.2160,OK
full,maximus,h2o,2gb,q5,cpu,3,107.5920,107.2950,OK
full,maximus,h2o,2gb,q6,cpu,3,234.9670,234.7250,OK
full,maximus,h2o,2gb,q7,cpu,3,149.8290,149.5630,OK
full,maximus,h2o,2gb,q9,cpu,3,31.2640,30.2520,OK
full,maximus,h2o,2gb,q10,cpu,3,576.7370,567.1410,OK
full,sirius,h2o,2gb,q1,gpu,3,8.0000,8.0000,OK
full,sirius,h2o,2gb,q2,gpu,3,8.0000,7.0000,OK
full,sirius,h2o,2gb,q3,gpu,3,86.0000,83.0000,OK
full,sirius,h2o,2gb,q4,gpu,3,13.0000,13.0000,OK
full,sirius,h2o,2gb,q5,gpu,3,9.0000,9.0000,OK
full,sirius,h2o,2gb,q6,gpu,3,13.0000,13.0000,OK
full,sirius,h2o,2gb,q7,gpu,3,60.0000,60.0000,OK
full,sirius,h2o,2gb,q9,gpu,3,30.0000,30.0000,OK
full,sirius,h2o,2gb,q10,gpu,3,1249.0000,1123.0000,OK
full,sirius,h2o,2gb,q1,cpu,3,8.0000,8.0000,OK
full,sirius,h2o,2gb,q2,cpu,3,8.0000,8.0000,OK
full,sirius,h2o,2gb,q3,cpu,3,84.0000,84.0000,OK
full,sirius,h2o,2gb,q4,cpu,3,12.0000,12.0000,OK
full,sirius,h2o,2gb,q5,cpu,3,10.0000,9.0000,OK
full,sirius,h2o,2gb,q6,cpu,3,13.0000,13.0000,OK
full,sirius,h2o,2gb,q7,cpu,3,60.0000,60.0000,OK
full,sirius,h2o,2gb,q9,cpu,3,29.0000,29.0000,OK
full,sirius,h2o,2gb,q10,cpu,3,1233.0000,1125.0000,OK
full,maximus,h2o,3gb,q1,gpu,3,11.8990,11.8990,OK
full,maximus,h2o,3gb,q2,gpu,3,10.2250,10.0330,OK
full,maximus,h2o,3gb,q3,gpu,3,46.3080,46.3080,OK
full,maximus,h2o,3gb,q4,gpu,3,12.1000,12.1000,OK
full,maximus,h2o,3gb,q5,gpu,3,7.3180,7.3180,OK
full,maximus,h2o,3gb,q6,gpu,3,238.4050,238.4050,OK
full,maximus,h2o,3gb,q7,gpu,3,34.1210,34.1210,OK
full,maximus,h2o,3gb,q9,gpu,3,34.6050,34.6050,OK
full,maximus,h2o,3gb,q10,gpu,3,427.8560,427.8560,OK
full,maximus,h2o,3gb,q1,cpu,3,113.9550,113.9550,OK
full,maximus,h2o,3gb,q2,cpu,3,181.0190,180.8050,OK
full,maximus,h2o,3gb,q3,cpu,3,262.1360,261.6480,OK
full,maximus,h2o,3gb,q4,cpu,3,167.7080,167.0370,OK
full,maximus,h2o,3gb,q5,cpu,3,161.1790,160.8020,OK
full,maximus,h2o,3gb,q6,cpu,3,364.2190,363.8860,OK
full,maximus,h2o,3gb,q7,cpu,3,221.6780,221.6630,OK
full,maximus,h2o,3gb,q9,cpu,3,46.5810,45.5510,OK
full,maximus,h2o,3gb,q10,cpu,3,945.2680,940.0390,OK
full,sirius,h2o,3gb,q1,gpu,3,11.0000,11.0000,OK
full,sirius,h2o,3gb,q2,gpu,3,11.0000,11.0000,OK
full,sirius,h2o,3gb,q3,gpu,3,93.0000,92.0000,OK
full,sirius,h2o,3gb,q4,gpu,3,17.0000,17.0000,OK
full,sirius,h2o,3gb,q5,gpu,3,13.0000,13.0000,OK
full,sirius,h2o,3gb,q6,gpu,3,19.0000,18.0000,OK
full,sirius,h2o,3gb,q7,gpu,3,69.0000,65.0000,OK
full,sirius,h2o,3gb,q9,gpu,3,43.0000,42.0000,OK
full,sirius,h2o,3gb,q10,gpu,3,1967.0000,1698.0000,OK
full,sirius,h2o,3gb,q1,cpu,3,11.0000,11.0000,OK
full,sirius,h2o,3gb,q2,cpu,3,11.0000,11.0000,OK
full,sirius,h2o,3gb,q3,cpu,3,109.0000,95.0000,OK
full,sirius,h2o,3gb,q4,cpu,3,18.0000,18.0000,OK
