engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,all_ms,status
maximus,tpch,10,q17,gpu,3,12.7240,12.7240,23.5370;12.8000;12.7240,OK
maximus,tpch,10,q18,gpu,3,9.2430,9.2430,22.0600;9.2480;9.2430,OK
maximus,tpch,10,q19,gpu,3,127.9980,127.9820,134.7650;127.9820;127.9980,OK
maximus,tpch,10,q20,gpu,3,14.8290,14.8240,35.5170;14.8240;14.8290,OK
maximus,tpch,10,q21,gpu,3,266.4400,266.4400,318.6890;266.6060;266.4400,OK
maximus,tpch,10,q22,gpu,3,5.4450,5.4450,28.1890;5.5090;5.4450,OK
maximus,tpch,10,q1,cpu,3,44.9420,44.9420,60.5820;45.1210;44.9420,OK
maximus,tpch,10,q2,cpu,3,20.2380,20.2380,35.3480;20.3810;20.2380,OK
maximus,tpch,10,q3,cpu,3,20.0140,19.5980,34.9440;19.5980;20.0140,OK
maximus,tpch,10,q4,cpu,3,15.0430,15.0240,38.5830;15.0240;15.0430,OK
maximus,tpch,10,q5,cpu,3,161.0490,161.0330,177.3320;161.0330;161.0490,OK
maximus,tpch,10,q6,cpu,3,12.1440,12.1440,15.6000;12.2580;12.1440,OK
maximus,tpch,10,q7,cpu,3,39.3690,39.2890,82.4590;39.2890;39.3690,OK
maximus,tpch,10,q8,cpu,3,192.5770,192.5770,216.9290;193.0780;192.5770,OK
maximus,tpch,10,q9,cpu,3,259.7430,259.7430,281.6870;260.0400;259.7430,OK
maximus,tpch,10,q10,cpu,3,18.8990,18.6940,39.8920;18.6940;18.8990,OK
maximus,tpch,10,q11,cpu,3,107.6070,107.5080,123.9420;107.5080;107.6070,OK
maximus,tpch,10,q12,cpu,3,180.2100,179.7730,205.4130;179.7730;180.2100,OK
maximus,tpch,10,q13,cpu,3,123.5530,123.5040,144.7770;123.5040;123.5530,OK
maximus,tpch,10,q14,cpu,3,42.6930,42.4910,56.3620;42.4910;42.6930,OK
maximus,tpch,10,q15,cpu,3,40.1450,40.1450,55.3440;40.2080;40.1450,OK
maximus,tpch,10,q16,cpu,3,121.5100,121.5100,142.1850;121.5950;121.5100,OK
maximus,tpch,10,q17,cpu,3,820.8450,820.8450,855.0940;864.2330;820.8450,OK
maximus,tpch,10,q18,cpu,3,1033.9800,1033.9800,1046.0080;1041.7550;1033.9800,OK
maximus,tpch,10,q19,cpu,3,933.6550,933.6550,963.8300;945.5330;933.6550,OK
maximus,tpch,10,q20,cpu,3,146.3570,145.7830,168.9720;145.7830;146.3570,OK
maximus,tpch,10,q21,cpu,3,448.2990,448.2990,481.9400;448.9850;448.2990,OK
maximus,tpch,10,q22,cpu,3,139.9300,139.8970,163.3490;139.8970;139.9300,OK
sirius,tpch,10,q1,gpu,3,65.0000,65.0000,65.0000;65.0000;65.0000,OK
sirius,tpch,10,q2,gpu,3,23.0000,21.0000,21.0000;22.0000;23.0000,OK
sirius,tpch,10,q3,gpu,3,22.0000,22.0000,22.0000;22.0000;22.0000,OK
sirius,tpch,10,q4,gpu,3,19.0000,19.0000,19.0000;19.0000;19.0000,OK
sirius,tpch,10,q5,gpu,3,95.0000,94.0000,94.0000;94.0000;95.0000,OK
sirius,tpch,10,q6,gpu,3,3.0000,3.0000,4.0000;4.0000;3.0000,OK
sirius,tpch,10,q7,gpu,3,33.0000,33.0000,33.0000;34.0000;33.0000,OK
sirius,tpch,10,q8,gpu,3,32.0000,32.0000,32.0000;32.0000;32.0000,OK
sirius,tpch,10,q9,gpu,3,677.0000,672.0000,672.0000;674.0000;677.0000,OK
sirius,tpch,10,q10,gpu,3,42.0000,41.0000,41.0000;41.0000;42.0000,OK
sirius,tpch,10,q11,gpu,3,7.0000,6.0000,7.0000;6.0000;7.0000,OK
sirius,tpch,10,q12,gpu,3,14.0000,14.0000,15.0000;15.0000;14.0000,OK
sirius,tpch,10,q13,gpu,3,44.0000,44.0000,44.0000;44.0000;44.0000,OK
sirius,tpch,10,q14,gpu,3,6.0000,6.0000,6.0000;6.0000;6.0000,OK
sirius,tpch,10,q15,gpu,3,6.0000,6.0000,6.0000;7.0000;6.0000,OK
sirius,tpch,10,q16,gpu,3,51.0000,51.0000,51.0000;52.0000;51.0000,OK
sirius,tpch,10,q17,gpu,3,64.0000,63.0000,64.0000;63.0000;64.0000,OK
sirius,tpch,10,q18,gpu,3,114.0000,114.0000,114.0000;114.0000;114.0000,OK
sirius,tpch,10,q19,gpu,3,21.0000,21.0000,21.0000;22.0000;21.0000,OK
sirius,tpch,10,q20,gpu,3,15.0000,15.0000,15.0000;16.0000;15.0000,OK
sirius,tpch,10,q21,gpu,3,250.0000,250.0000,251.0000;251.0000;250.0000,OK
sirius,tpch,10,q22,gpu,3,13.0000,13.0000,13.0000;13.0000;13.0000,OK
sirius,tpch,10,q1,cpu,3,63.0000,63.0000,64.0000;65.0000;63.0000,OK
sirius,tpch,10,q2,cpu,3,22.0000,22.0000,22.0000;22.0000;22.0000,OK
sirius,tpch,10,q3,cpu,3,22.0000,21.0000,21.0000;21.0000;22.0000,OK
sirius,tpch,10,q4,cpu,3,19.0000,19.0000,19.0000;19.0000;19.0000,OK
sirius,tpch,10,q5,cpu,3,94.0000,94.0000,94.0000;95.0000;94.0000,OK
sirius,tpch,10,q6,cpu,3,4.0000,3.0000,3.0000;4.0000;4.0000,OK
sirius,tpch,10,q7,cpu,3,33.0000,33.0000,34.0000;34.0000;33.0000,OK
sirius,tpch,10,q8,cpu,3,32.0000,32.0000,32.0000;32.0000;32.0000,OK
sirius,tpch,10,q9,cpu,3,678.0000,662.0000,670.0000;662.0000;678.0000,OK
sirius,tpch,10,q10,cpu,3,41.0000,41.0000,42.0000;42.0000;41.0000,OK
sirius,tpch,10,q11,cpu,3,6.0000,6.0000,6.0000;7.0000;6.0000,OK
sirius,tpch,10,q12,cpu,3,14.0000,14.0000,15.0000;14.0000;14.0000,OK
sirius,tpch,10,q13,cpu,3,44.0000,44.0000,44.0000;44.0000;44.0000,OK
sirius,tpch,10,q14,cpu,3,6.0000,6.0000,6.0000;6.0000;6.0000,OK
sirius,tpch,10,q15,cpu,3,6.0000,6.0000,6.0000;6.0000;6.0000,OK
sirius,tpch,10,q16,cpu,3,51.0000,51.0000,51.0000;52.0000;51.0000,OK
sirius,tpch,10,q17,cpu,3,64.0000,63.0000,64.0000;63.0000;64.0000,OK
sirius,tpch,10,q18,cpu,3,114.0000,114.0000,114.0000;114.0000;114.0000,OK
sirius,tpch,10,q19,cpu,3,21.0000,21.0000,21.0000;21.0000;21.0000,OK
sirius,tpch,10,q20,cpu,3,15.0000,15.0000,15.0000;16.0000;15.0000,OK
sirius,tpch,10,q21,cpu,3,251.0000,251.0000,253.0000;251.0000;251.0000,OK
sirius,tpch,10,q22,cpu,3,14.0000,13.0000,13.0000;13.0000;14.0000,OK
maximus,h2o,1gb,q1,gpu,3,4.2970,4.2970,14.9310;4.3050;4.2970,OK
maximus,h2o,1gb,q2,gpu,3,3.7280,3.7280,20.0270;3.7870;3.7280,OK
maximus,h2o,1gb,q3,gpu,3,25.4900,25.4900,38.2970;25.6860;25.4900,OK
maximus,h2o,1gb,q4,gpu,3,4.3120,4.3120,14.3710;4.3310;4.3120,OK
maximus,h2o,1gb,q5,gpu,3,2.6740,2.6740,19.5110;2.7160;2.6740,OK
maximus,h2o,1gb,q6,gpu,3,68.9120,68.9120,97.3740;68.9150;68.9120,OK
maximus,h2o,1gb,q7,gpu,3,17.7690,17.7690,30.7570;17.8980;17.7690,OK
maximus,h2o,1gb,q9,gpu,3,12.4160,12.4160,35.1190;12.4840;12.4160,OK
maximus,h2o,1gb,q10,gpu,3,139.6580,139.6580,150.2570;140.3520;139.6580,OK
maximus,h2o,1gb,q1,cpu,3,38.3530,38.1360,51.8410;38.1360;38.3530,OK
maximus,h2o,1gb,q2,cpu,3,60.4900,60.4900,77.6880;60.4970;60.4900,OK
maximus,h2o,1gb,q3,cpu,3,97.4110,97.2910,111.1440;97.2910;97.4110,OK
maximus,h2o,1gb,q4,cpu,3,54.9130,54.9130,71.8370;55.1830;54.9130,OK
maximus,h2o,1gb,q5,cpu,3,53.1000,53.1000,66.3360;53.2520;53.1000,OK
maximus,h2o,1gb,q6,cpu,3,109.4920,109.4920,141.4600;110.3710;109.4920,OK
maximus,h2o,1gb,q7,cpu,3,81.5060,80.9850,95.3900;80.9850;81.5060,OK
maximus,h2o,1gb,q9,cpu,3,15.9580,15.9580,42.2540;16.2360;15.9580,OK
maximus,h2o,1gb,q10,cpu,3,293.9650,293.9650,300.6140;294.1520;293.9650,OK
sirius,h2o,1gb,q1,gpu,3,5.0000,5.0000,5.0000;5.0000;5.0000,OK
sirius,h2o,1gb,q2,gpu,3,4.0000,4.0000,5.0000;5.0000;4.0000,OK
sirius,h2o,1gb,q3,gpu,3,93.0000,76.0000,76.0000;77.0000;93.0000,OK
sirius,h2o,1gb,q4,gpu,3,7.0000,7.0000,7.0000;7.0000;7.0000,OK
sirius,h2o,1gb,q5,gpu,3,5.0000,5.0000,6.0000;5.0000;5.0000,OK
sirius,h2o,1gb,q6,gpu,3,7.0000,7.0000,7.0000;8.0000;7.0000,OK
sirius,h2o,1gb,q7,gpu,3,52.0000,50.0000,53.0000;50.0000;52.0000,OK
sirius,h2o,1gb,q9,gpu,3,17.0000,17.0000,17.0000;17.0000;17.0000,OK
sirius,h2o,1gb,q10,gpu,3,509.0000,506.0000,565.0000;506.0000;509.0000,OK
sirius,h2o,1gb,q1,cpu,3,5.0000,4.0000,5.0000;4.0000;5.0000,OK
sirius,h2o,1gb,q2,cpu,3,4.0000,4.0000,5.0000;5.0000;4.0000,OK
sirius,h2o,1gb,q3,cpu,3,68.0000,67.0000,82.0000;67.0000;68.0000,OK
sirius,h2o,1gb,q4,cpu,3,7.0000,7.0000,7.0000;7.0000;7.0000,OK
sirius,h2o,1gb,q5,cpu,3,6.0000,5.0000,5.0000;6.0000;6.0000,OK
sirius,h2o,1gb,q6,cpu,3,7.0000,7.0000,7.0000;8.0000;7.0000,OK
