config,pl_w,sm_mhz,engine,benchmark,sf,query,storage,n_reps,run3_ms,min_ms,all_ms,status
pl250w_smauto,250,auto,maximus,tpch,10,q9,cpu,3,259.7850,259.5720,281.4200;259.5720;259.7850,OK
pl250w_smauto,250,auto,maximus,tpch,10,q13,cpu,3,154.6420,154.6420,171.2450;155.1310;154.6420,OK
pl250w_smauto,250,auto,maximus,tpch,10,q16,cpu,3,124.6930,124.6930,153.2400;124.9490;124.6930,OK
pl250w_smauto,250,auto,sirius,tpch,10,q1,gpu,3,80.0000,80.0000,80.0000;82.0000;80.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q3,gpu,3,24.0000,24.0000,24.0000;24.0000;24.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q6,gpu,3,3.0000,3.0000,4.0000;4.0000;3.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q9,gpu,3,689.0000,688.0000,688.0000;688.0000;689.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q13,gpu,3,58.0000,54.0000,54.0000;56.0000;58.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q16,gpu,3,65.0000,63.0000,65.0000;63.0000;65.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q1,cpu,3,82.0000,81.0000,87.0000;81.0000;82.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q3,cpu,3,23.0000,23.0000,24.0000;24.0000;23.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q6,cpu,3,3.0000,3.0000,4.0000;4.0000;3.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q9,cpu,3,702.0000,684.0000,684.0000;688.0000;702.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q13,cpu,3,59.0000,56.0000,56.0000;60.0000;59.0000,OK
pl250w_smauto,250,auto,sirius,tpch,10,q16,cpu,3,65.0000,63.0000,65.0000;63.0000;65.0000,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q1,gpu,3,18.9870,18.9870,53.8360;20.5910;18.9870,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q3,gpu,3,64.5690,63.1370,86.6490;63.1370;64.5690,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q5,gpu,3,15.1250,15.1250,30.9400;17.4520;15.1250,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q6,gpu,3,511.6590,488.2480,524.9470;488.2480;511.6590,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q7,gpu,3,46.7240,45.6750,75.4380;45.6750;46.7240,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q9,gpu,3,72.3710,60.6660,114.5980;60.6660;72.3710,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q1,cpu,3,152.4800,152.4800,163.2150;152.5350;152.4800,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q3,cpu,3,348.6650,346.8500,360.9150;346.8500;348.6650,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q5,cpu,3,220.8130,219.3700,234.1580;219.3700;220.8130,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q6,cpu,3,637.7730,635.3220,649.9630;635.3220;637.7730,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q7,cpu,3,290.5720,290.5720,304.2600;290.9110;290.5720,OK
pl250w_smauto,250,auto,maximus,h2o,4gb,q9,cpu,3,65.9870,65.9870,93.5940;66.2480;65.9870,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q1,gpu,3,15.0000,14.0000,14.0000;15.0000;15.0000,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q3,gpu,3,105.0000,105.0000,107.0000;109.0000;105.0000,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q5,gpu,3,20.0000,19.0000,19.0000;20.0000;20.0000,OK
pl250w_smauto,250,auto,sirius,h2o,4gb,q6,gpu,3,29.0000,28.0000,28.0000;28.0000;29.0000,OK
