benchmark,sf,query,n_reps,min_ms,avg_ms,all_ms,status
microbench_tpch,5,w3_025,5,2.5350,2.5746,2.5870;2.5410;2.5350;2.6110;2.5990,OK
microbench_tpch,5,w3_028,5,4.5590,4.5766,4.5590;4.5730;4.5950;4.5610;4.5950,OK
microbench_tpch,5,w4_033,5,1.9760,2.1082,2.0210;2.3990;1.9760;2.0210;2.1240,OK
microbench_tpch,5,w4_052,5,3.9000,3.9388,3.9000;3.9230;3.9240;3.9280;4.0190,OK
microbench_tpch,5,w4_053,5,1.8870,2.0452,2.3010;1.9510;1.9200;2.1670;1.8870,OK
microbench_tpch,5,w4_054,5,12.7540,13.3574,12.7540;13.1720;13.5510;13.5280;13.7820,OK
microbench_tpch,5,w4_055,5,1.8190,2.0128,2.1410;1.8190;2.0850;2.0950;1.9240,OK
microbench_tpch,5,w4_057,5,17.1150,17.6638,17.4360;17.8980;17.4290;18.4410;17.1150,OK
microbench_tpch,5,w4_059,5,3.2750,3.5318,4.2800;3.4110;3.3710;3.3220;3.2750,OK
microbench_tpch,5,w5a_029,5,3.6830,4.0704,5.5640;3.7150;3.6830;3.7040;3.6860,OK
microbench_tpch,5,w5a_034,5,8.1860,8.2248,8.2710;8.2120;8.1860;8.2400;8.2150,OK
microbench_tpch,5,w5a_035,5,16.0160,16.0332,16.0530;16.0160;16.0440;16.0350;16.0180,OK
microbench_tpch,5,w5a_036,5,8.0410,8.0662,8.0980;8.0870;8.0410;8.0410;8.0640,OK
microbench_tpch,5,w5a_037,5,8.1200,8.1408,8.1920;8.1360;8.1200;8.1220;8.1340,OK
microbench_tpch,5,w5a_038,5,5.6010,5.6224,5.6450;5.6070;5.6010;5.6230;5.6360,OK
microbench_tpch,5,w5a_048,5,11.9850,12.0008,12.0100;11.9890;11.9850;12.0130;12.0070,OK
microbench_tpch,5,w5a_049,5,9.7720,9.7768,9.7740;9.7740;9.7720;9.7790;9.7850,OK
microbench_tpch,5,w5a_050,5,15.6850,15.7252,15.7730;15.6900;15.6850;15.7490;15.7290,OK
microbench_tpch,5,w5a_056,5,20.9350,20.9894,21.0110;20.9590;20.9350;21.0320;21.0100,OK
microbench_tpch,5,w5b_030,5,30.7800,31.1180,30.8660;32.1490;30.7800;30.9350;30.8600,OK
microbench_tpch,5,w5b_039,5,34.1750,34.2042,34.2440;34.1750;34.1990;34.1850;34.2180,OK
microbench_tpch,5,w5b_040,5,34.6340,34.6470,34.6340;34.6480;34.6410;34.6590;34.6530,OK
microbench_tpch,5,w5b_041,5,12.5990,12.6234,12.6330;12.6590;12.6100;12.6160;12.5990,OK
microbench_tpch,5,w5b_042,5,38.0250,38.0722,38.1030;38.0670;38.0740;38.0250;38.0920,OK
microbench_tpch,5,w5b_043,5,12.5400,12.5654,12.5980;12.5400;12.5540;12.5670;12.5680,OK
microbench_tpch,5,w5b_044,5,44.3240,44.3806,44.4050;44.4230;44.3240;44.3600;44.3910,OK
microbench_tpch,5,w5b_045,5,49.2800,49.3404,49.2800;49.3440;49.3000;49.3980;49.3800,OK
microbench_tpch,5,w5b_047,5,46.3590,46.3862,46.3590;46.3860;46.3870;46.3980;46.4010,OK
microbench_tpch,5,w5b_051,5,49.1030,49.1504,49.1510;49.1750;49.2080;49.1030;49.1150,OK
microbench_tpch,5,w6_020,5,3.7620,5.2976,11.2700;3.8430;3.7720;3.8410;3.7620,OK
microbench_tpch,5,w6_021,5,4.8910,4.9914,5.0750;4.8910;4.9100;5.0580;5.0230,OK
microbench_tpch,5,w6_026,5,16.7620,16.8680,17.1820;16.8020;16.7960;16.7620;16.7980,OK
microbench_tpch,5,w6_031,5,8.8550,8.8898,8.9790;8.8590;8.8550;8.8650;8.8910,OK
microbench_tpch,5,w6_032,5,6.2090,6.2374,6.3280;6.2240;6.2120;6.2140;6.2090,OK
microbench_tpch,5,w6_046,5,17.8060,17.9748,17.8110;17.9170;17.8060;18.1200;18.2200,OK
microbench_tpch,5,w6_060,5,24.1230,24.2600,24.3280;24.2810;24.2340;24.1230;24.3340,OK
microbench_tpch,10,w1_002,5,4.2210,4.6934,6.4680;4.2500;4.2390;4.2210;4.2890,OK
microbench_tpch,10,w1_004,5,0.3260,0.3850,0.5180;0.3930;0.3460;0.3420;0.3260,OK
microbench_tpch,10,w1_005,5,15.5610,15.5920,15.6250;15.5610;15.5810;15.6070;15.5860,OK
microbench_tpch,10,w1_006,5,15.5740,15.9564,17.4440;15.6000;15.5780;15.5860;15.5740,OK
microbench_tpch,10,w1_007,5,31.9450,32.3702,33.9930;31.9850;31.9470;31.9810;31.9450,OK
microbench_tpch,10,w1_008,5,16.1380,16.3264,16.9410;16.1800;16.1990;16.1380;16.1740,OK
microbench_tpch,10,w1_011,5,61.4830,61.5142,61.5070;61.5620;61.4830;61.5100;61.5090,OK
microbench_tpch,10,w2_003,5,1.7590,1.9496,2.6920;1.7590;1.7720;1.7630;1.7620,OK
microbench_tpch,10,w2_012,5,1.2180,1.2402,1.2290;1.2470;1.2830;1.2240;1.2180,OK
microbench_tpch,10,w2_013,5,6.3950,6.4210,6.4520;6.4360;6.4140;6.4080;6.3950,OK
microbench_tpch,10,w2_014,5,10.2360,10.2606,10.3150;10.2360;10.2610;10.2500;10.2410,OK
microbench_tpch,10,w2_015,5,1.8970,2.4486,4.6190;1.9050;1.9110;1.9110;1.8970,OK
microbench_tpch,10,w2_016,5,5.3250,5.3436,5.3490;5.3650;5.3250;5.3460;5.3330,OK
microbench_tpch,10,w2_017,5,14.9360,14.9556,14.9360;14.9470;14.9510;14.9820;14.9620,OK
microbench_tpch,10,w3_001,5,0.4420,1.6584,6.0980;0.8500;0.4500;0.4520;0.4420,OK
microbench_tpch,10,w3_009,5,1.6750,1.6878,1.6830;1.6750;1.6850;1.6810;1.7150,OK
microbench_tpch,10,w3_010,5,1.2340,1.2418,1.2370;1.2450;1.2350;1.2580;1.2340,OK
microbench_tpch,10,w3_023,5,5.5240,5.5406,5.5470;5.5240;5.5430;5.5300;5.5590,OK
microbench_tpch,10,w3_024,5,7.2060,7.2182,7.2060;7.2380;7.2060;7.2180;7.2230,OK
microbench_tpch,10,w3_025,5,4.7400,4.7618,4.7770;4.7660;4.7550;4.7400;4.7710,OK
microbench_tpch,10,w3_028,5,8.5320,8.5598,8.5320;8.6220;8.5410;8.5440;8.5600,OK
microbench_tpch,10,w4_033,5,3.4940,3.9404,3.7350;3.4940;3.5380;5.2300;3.7050,OK
microbench_tpch,10,w4_052,5,7.9810,8.2728,8.2920;8.6170;7.9810;8.2040;8.2700,OK
microbench_tpch,10,w4_053,5,3.4240,3.5462,3.9330;3.4240;3.4290;3.4700;3.4750,OK
microbench_tpch,10,w4_054,5,24.5310,25.5780,24.5310;24.8110;25.2360;25.5280;27.7840,OK
microbench_tpch,10,w4_055,5,3.5030,3.9270,4.4630;3.7560;3.5030;4.1750;3.7380,OK
microbench_tpch,10,w4_057,5,36.6700,38.1770,41.1130;36.6700;37.4600;37.7470;37.8950,OK
microbench_tpch,10,w4_059,5,6.3270,6.7202,8.0750;6.4630;6.3830;6.3530;6.3270,OK
microbench_tpch,10,w5a_029,5,7.1990,7.5682,9.0040;7.2320;7.2030;7.1990;7.2030,OK
microbench_tpch,10,w5a_034,5,16.0890,16.1302,16.2000;16.1030;16.1020;16.1570;16.0890,OK
microbench_tpch,10,w5a_035,5,31.7030,31.7206,31.7180;31.7340;31.7060;31.7030;31.7420,OK
microbench_tpch,10,w5a_036,5,15.5610,15.6450,15.8850;15.6480;15.5630;15.5610;15.5680,OK
microbench_tpch,10,w5a_037,5,14.1950,14.2354,14.1950;14.2610;14.2280;14.2320;14.2610,OK
microbench_tpch,10,w5a_038,5,10.9140,10.9416,10.9810;10.9660;10.9220;10.9250;10.9140,OK
microbench_tpch,10,w5a_048,5,23.5280,23.5738,23.5280;23.5430;23.6080;23.5940;23.5960,OK
microbench_tpch,10,w5a_049,5,19.3390,19.3986,19.4150;19.3390;19.4650;19.3810;19.3930,OK
microbench_tpch,10,w5a_050,5,31.8920,31.9080,31.8920;31.9030;31.8980;31.9130;31.9340,OK
microbench_tpch,10,w5a_056,5,42.2920,42.3552,42.4300;42.3840;42.2920;42.3270;42.3430,OK
microbench_tpch,10,w5b_030,5,61.4860,61.5346,61.4860;61.5840;61.5260;61.5030;61.5740,OK
microbench_tpch,10,w5b_039,5,68.3130,68.3608,68.3770;68.3330;68.3730;68.3130;68.4080,OK
microbench_tpch,10,w5b_040,5,70.2750,70.3952,70.3860;70.2750;70.4960;70.4110;70.4080,OK
microbench_tpch,10,w5b_041,5,22.5620,22.6278,22.7460;22.5620;22.5650;22.6240;22.6420,OK
microbench_tpch,10,w5b_042,5,76.1920,76.3316,76.7500;76.2030;76.2560;76.1920;76.2570,OK
microbench_tpch,10,w5b_043,5,24.7060,24.7666,24.7060;24.7120;24.7480;24.7090;24.9580,OK
microbench_tpch,10,w5b_044,5,91.9000,92.0348,92.0440;92.0670;91.9000;92.1610;92.0020,OK
microbench_tpch,10,w5b_045,5,101.0610,101.1116,101.1020;101.1390;101.0610;101.1370;101.1190,OK
microbench_tpch,10,w5b_047,5,92.5330,92.5858,92.6310;92.5650;92.5420;92.5330;92.6580,OK
microbench_tpch,10,w5b_051,5,97.8820,97.9662,98.0300;97.9790;97.8820;97.9230;98.0170,OK
microbench_tpch,10,w6_020,5,7.7980,9.3832,15.0970;8.0050;8.0400;7.7980;7.9760,OK
microbench_tpch,10,w6_021,5,9.9020,10.0904,10.2420;10.1840;9.9020;9.9320;10.1920,OK
microbench_tpch,10,w6_026,5,36.7790,36.8234,36.8820;36.8420;36.8000;36.8140;36.7790,OK
microbench_tpch,10,w6_031,5,17.3010,17.3750,17.5300;17.3010;17.3400;17.3500;17.3540,OK
